side,n,seed,family,algo,rounds_eps3,conv_eps3,rounds_eps6,conv_eps6,maxr,alpha,secs,max_deg,edges,cost3_load,cost6_load,note
22,484,33,localrand,heat,2842,1,8099,1,40000,0.5,0.821,10,924,28420,80990,
22,484,33,localrand,pushsum,1834,1,5145,1,40000,0.5,0.446,10,924,18340,51450,
22,484,33,localrand,gossip,2406,1,6756,1,40000,0.5,0.383,10,924,24060,67560,
22,484,40,flat,heat,1436,1,3965,1,40000,0.5,1.009,4,924,5744,15860,
22,484,40,flat,pushsum,931,1,2532,1,40000,0.5,0.671,4,924,3724,10128,
22,484,40,flat,gossip,958,1,2614,1,40000,0.5,0.539,4,924,3832,10456,
22,484,40,curved,heat,171,1,424,1,40000,0.5,0.092,82,924,14022,34768,
22,484,40,curved,pushsum,135,1,328,1,40000,0.5,0.09,82,924,11070,26896,
22,484,40,curved,gossip,1553,1,4079,1,40000,0.5,0.764,82,924,127346,334478,
22,484,40,localrand,heat,1603,1,4470,1,40000,0.5,0.093,10,924,16030,44700,
22,484,40,localrand,pushsum,982,1,2716,1,40000,0.5,0.055,10,924,9820,27160,
22,484,40,localrand,gossip,1359,1,3772,1,40000,0.5,0.06,10,924,13590,37720,
22,484,37,flat,heat,1312,1,3841,1,40000,0.5,0.886,4,924,5248,15364,
22,484,37,flat,pushsum,846,1,2448,1,40000,0.5,0.565,4,924,3384,9792,
22,484,37,flat,gossip,870,1,2526,1,40000,0.5,0.426,4,924,3480,10104,
22,484,37,curved,heat,104,1,251,1,40000,0.5,0.064,207,924,21528,51957,
22,484,37,curved,pushsum,89,1,212,1,40000,0.5,0.075,207,924,18423,43884,
22,484,37,curved,gossip,3234,1,7566,1,40000,0.5,1.449,207,924,669438,1566162,
