side,n,seed,family,algo,rounds_eps3,conv_eps3,rounds_eps6,conv_eps6,maxr,alpha,secs,max_deg,edges,cost3_load,cost6_load,note
32,1024,36,localrand,pushsum,1929,1,6317,1,40000,0.5,1.075,10,1986,19290,63170,
32,1024,36,localrand,gossip,2663,1,8521,1,40000,0.5,1.019,10,1986,26630,85210,
32,1024,33,flat,heat,2953,1,8422,1,40000,0.5,2.049,4,1984,11812,33688,
32,1024,33,flat,pushsum,1934,1,5384,1,40000,0.5,1.727,4,1984,7736,21536,
32,1024,33,flat,gossip,1972,1,5500,1,40000,0.5,1.69,4,1984,7888,22000,
32,1024,33,curved,heat,114,1,290,1,40000,0.5,0.098,333,1986,37962,96570,
32,1024,33,curved,pushsum,98,1,241,1,40000,0.5,0.076,333,1986,32634,80253,
32,1024,33,curved,gossip,5550,1,14655,1,40000,0.5,4.462,333,1986,1848150,4880115,
32,1024,33,localrand,heat,3607,1,9640,1,40000,0.5,2.151,10,1984,36070,96400,
32,1024,33,localrand,pushsum,2194,1,6007,1,40000,0.5,1.272,10,1984,21940,60070,
32,1024,33,localrand,gossip,2884,1,7971,1,40000,0.5,1.174,10,1984,28840,79710,
32,1024,32,flat,heat,2780,1,8249,1,40000,0.5,2.681,4,1984,11120,32996,
32,1024,32,flat,pushsum,1787,1,5236,1,40000,0.5,1.858,4,1984,7148,20944,
32,1024,32,flat,gossip,1824,1,5352,1,40000,0.5,1.419,4,1984,7296,21408,
32,1024,32,curved,heat,122,1,321,1,40000,0.5,0.092,219,1987,26718,70299,
32,1024,32,curved,pushsum,93,1,229,1,40000,0.5,0.09,219,1987,20367,50151,
32,1024,32,curved,gossip,3631,1,9674,1,40000,0.5,2.564,219,1987,795189,2118606,
32,1024,32,localrand,heat,3209,1,9248,1,40000,0.5,2.031,11,1984,35299,101728,
32,1024,32,localrand,pushsum,1982,1,5882,1,40000,0.5,1.179,11,1984,21802,64702,
32,1024,32,localrand,gossip,2622,1,7822,1,40000,0.5,1.236,11,1984,28842,86042,
32,1024,30,flat,heat,2718,1,8186,1,40000,0.5,2.02,4,1984,10872,32744,
32,1024,30,flat,pushsum,1693,1,5142,1,40000,0.5,1.275,4,1984,6772,20568,
32,1024,30,flat,gossip,1725,1,5253,1,40000,0.5,1.025,4,1984,6900,21012,
32,1024,30,curved,heat,173,1,496,1,40000,0.5,0.153,144,1988,24912,71424,
32,1024,30,curved,pushsum,130,1,329,1,40000,0.5,0.116,144,1988,18720,47376,
32,1024,30,curved,gossip,2680,1,7724,1,40000,0.5,1.836,144,1988,385920,1112256,
32,1024,30,localrand,heat,3830,1,10818,1,40000,0.5,2.082,10,1984,38300,108180,
32,1024,30,localrand,pushsum,1953,1,6178,1,40000,0.5,1.35,10,1984,19530,61780,
32,1024,30,localrand,gossip,2639,1,8117,1,40000,0.5,1.188,10,1984,26390,81170,
32,1024,35,flat,heat,2368,1,7835,1,40000,0.5,2.336,4,1984,9472,31340,
32,1024,35,flat,pushsum,1496,1,4945,1,40000,0.5,1.473,4,1984,5984,19780,
32,1024,35,flat,gossip,1522,1,5049,1,40000,0.5,1.343,4,1984,6088,20196,
32,1024,35,curved,heat,128,1,379,1,40000,0.5,0.074,325,1988,41600,123175,
32,1024,35,curved,pushsum,119,1,334,1,40000,0.5,0.074,325,1988,38675,108550,
32,1024,35,curved,gossip,5720,1,15292,1,40000,0.5,3.135,325,1988,1859000,4969900,
32,1024,35,localrand,heat,3502,1,10138,1,40000,0.5,1.994,10,1985,35020,101380,
32,1024,35,localrand,pushsum,1916,1,6149,1,40000,0.5,0.672,10,1985,19160,61490,
32,1024,35,localrand,gossip,2438,1,7832,1,40000,0.5,0.847,10,1985,24380,78320,
32,1024,41,flat,heat,2376,1,7844,1,40000,0.5,2.409,4,1984,9504,31376,
32,1024,41,flat,pushsum,1394,1,4842,1,40000,0.5,1.829,4,1984,5576,19368,
32,1024,41,flat,gossip,1420,1,4947,1,40000,0.5,1.2,4,1984,5680,19788,
32,1024,41,curved,heat,133,1,337,1,40000,0.5,0.145,368,1987,48944,124016,
32,1024,41,curved,pushsum,110,1,253,1,40000,0.5,0.081,368,1987,40480,93104,
32,1024,41,curved,gossip,7350,1,18721,1,40000,0.5,3.805,368,1987,2704800,6889328,
32,1024,41,localrand,heat,1915,1,8942,1,40000,0.5,1.172,11,1987,21065,98362,
32,1024,41,localrand,pushsum,1653,1,5876,1,40000,0.5,0.525,11,1987,18183,64636,
32,1024,41,localrand,gossip,2225,1,7687,1,40000,0.5,0.489,11,1987,24475,84557,
32,1024,31,flat,heat,3492,1,8960,1,40000,0.5,2.734,4,1984,13968,35840,
32,1024,31,flat,pushsum,2181,1,5630,1,40000,0.5,2.049,4,1984,8724,22520,
32,1024,31,flat,gossip,2224,1,5752,1,40000,0.5,1.523,4,1984,8896,23008,
32,1024,31,curved,heat,218,1,608,1,40000,0.5,0.147,162,1987,35316,98496,
32,1024,31,curved,pushsum,133,1,376,1,40000,0.5,0.118,162,1987,21546,60912,
32,1024,31,curved,gossip,2417,1,7996,1,40000,0.5,1.907,162,1987,391554,1295352,
32,1024,31,localrand,heat,3565,1,10167,1,40000,0.5,0.938,11,1986,39215,111837,
32,1024,31,localrand,pushsum,2403,1,6422,1,40000,0.5,0.452,11,1986,26433,70642,
32,1024,31,localrand,gossip,3211,1,8504,1,40000,0.5,0.487,11,1986,35321,93544,
32,1024,37,flat,heat,3470,1,8939,1,40000,0.5,2.773,4,1984,13880,35756,
32,1024,37,flat,pushsum,2187,1,5636,1,40000,0.5,1.599,4,1984,8748,22544,
