side,seed,family,nodes,edges,connected,mean_deg,max_deg,diam,mean_path_len,gromov_delta_max,delta_over_diam,lambda2_norm,build_secs,note
32,33,curved,1024,1986,1,3.8789,333,10,3.8205,1.0,0.1,0.07036218,30.94,
32,33,shuffled,1024,1986,1,3.8789,333,9,3.6968,1.5,0.1667,0.09427435,30.94,connected_double_edge_swap
32,33,rreg4,1024,2048,1,4.0,4,9,5.6708,3.0,0.3333,0.1324666,30.94,rreg4_try0
32,34,flat,1024,1984,1,3.875,4,62,21.3333,20.0,0.3226,0.00252477,31.79,
32,34,curved,1024,1986,1,3.8789,272,10,4.0849,1.0,0.1,0.04441893,31.79,
32,34,shuffled,1024,1986,1,3.8789,272,10,3.931,1.0,0.1,0.10017484,31.79,connected_double_edge_swap
32,34,rreg4,1024,2048,1,4.0,4,9,5.6611,3.0,0.3333,0.13606489,31.79,rreg4_try0
32,35,flat,1024,1984,1,3.875,4,62,21.3333,20.0,0.3226,0.00252477,30.52,
32,35,curved,1024,1988,1,3.8828,325,11,4.0238,1.0,0.0909,0.04545386,30.52,
32,35,shuffled,1024,1988,1,3.8828,325,10,3.8057,1.5,0.15,0.07476993,30.52,connected_double_edge_swap
32,35,rreg4,1024,2048,1,4.0,4,9,5.6613,2.5,0.2778,0.13760365,30.52,rreg4_try0
32,36,flat,1024,1984,1,3.875,4,62,21.3333,18.0,0.2903,0.00252477,29.51,
32,36,curved,1024,1988,1,3.8828,274,11,4.0813,1.0,0.0909,0.04495201,29.51,
32,36,shuffled,1024,1988,1,3.8828,274,10,3.9052,1.5,0.15,0.09288305,29.51,connected_double_edge_swap
32,36,rreg4,1024,2048,1,4.0,4,8,5.647,2.5,0.3125,0.14027751,29.51,rreg4_try0
32,37,flat,1024,1984,1,3.875,4,62,21.3333,19.0,0.3065,0.00252477,32.75,
32,37,curved,1024,1986,1,3.8789,361,10,3.799,1.0,0.1,0.05268372,32.75,
32,37,shuffled,1024,1986,1,3.8789,361,10,3.6806,1.0,0.1,0.08087638,32.75,connected_double_edge_swap
32,37,rreg4,1024,2048,1,4.0,4,9,5.6532,2.5,0.2778,0.13983402,32.75,rreg4_try0
32,38,flat,1024,1984,1,3.875,4,62,21.3333,19.0,0.3065,0.00252477,30.14,
32,38,curved,1024,1988,1,3.8828,268,10,4.0206,1.0,0.1,0.04829333,30.14,
32,38,shuffled,1024,1988,1,3.8828,268,10,3.9068,1.5,0.15,0.08776675,30.14,connected_double_edge_swap
32,38,rreg4,1024,2048,1,4.0,4,9,5.6681,3.0,0.3333,0.13717568,30.14,rreg4_try0
32,39,flat,1024,1984,1,3.875,4,62,21.3333,20.0,0.3226,0.00252477,30.43,
